Age,AnnualIncome,CallDropRate,CallFailureRate,CallingNumber,CustomerID,CustomerSuspended,Education,Gender,HomeOwner,MaritalStatus,MonthlyBilledAmount,NoAdditionalLines,NumberOfComplaints,NumberOfMonthUnpaid,NumDaysContractEquipmentPlanExpiring,Occupation,PenaltyToSwitch,State,TotalMinsUsedInLastMonth,UnpaidBalance,UsesInternetService,UsesVoiceService,PercentageCallOutsideNetwork,Churn
49,42879,0,0.02,4251064719,1339,Yes,High School or below,Male,Yes,Married,10,Yes,3,6,0,Others,471,CT,18,75,No,No,0.49,0
79,153780,0.06,0.02,4251010798,1340,Yes,High School or below,Female,Yes,Married,68,No,1,4,19,Technology Related Job,143,FL,215,90,No,No,0.95,0
27,151809,0,0,4251083134,1341,Yes,Bachelor or equivalent,Female,Yes,Single,75,Yes,3,1,59,Others,3,MT,218,200,No,No,0.16,0
58,12709,0.07,0,4251072607,1342,Yes,Bachelor or equivalent,Male,Yes,Married,13,Yes,0,7,78,Technology Related Job,176,NE,415,215,No,No,0.61,1
73,10738,0.01,0.02,4251087768,1343,Yes,Bachelor or equivalent,Female,No,Single,21,Yes,3,4,18,Others,36,UT,418,75,No,Yes,0.83,0
36,121638,0.07,0.02,4251047321,1344,Yes,Master or equivalent,Male,Yes,Single,79,No,0,2,37,Technology Related Job,208,VA,115,90,No,No,0.28,0
52,119667,0.01,0,4251012114,1345,Yes,High School or below,Male,Yes,Married,86,Yes,3,7,77,Others,68,IL,119,200,No,No,0.49,1
14,230568,0.07,0,4251078161,1346,Yes,High School or below,Female,Yes,Married,24,Yes,0,5,96,Technology Related Job,241,IA,316,215,No,No,0.95,0
30,228597,0.01,0.02,4251071328,1347,Yes,High School or below,Female,Yes,Married,32,No,2,2,36,Others,101,NY,319,75,No,No,0.16,0
60,89497,0.07,0.02,4251063743,1348,Yes,High School or below,Male,No,Married,90,Yes,3,0,54,Technology Related Job,273,NC,16,90,No,No,0.62,0
76,87526,0.01,0,4251014001,1349,Yes,Bachelor or equivalent,Female,Yes,Single,97,Yes,2,5,95,Others,133,WY,19,200,No,No,0.83,0
39,198427,0,0,4251060732,1350,Yes,Bachelor or equivalent,Male,Yes,Single,35,Yes,3,3,13,Technology Related Job,306,AK,216,215,No,No,0.28,1
55,196456,0.02,0.02,4251097382,1351,Yes,Bachelor or equivalent,Male,Yes,Married,42,No,2,0,54,Others,166,ME,220,75,No,No,0.49,0
17,57356,0,0.02,4251028041,1352,Yes,Bachelor or equivalent,Female,Yes,Single,100,Yes,3,6,72,Technology Related Job,338,MA,416,90,No,No,0.95,1
33,55385,0.02,0,4251026342,1353,Yes,PhD or equivalent,Female,Yes,Married,108,Yes,1,3,13,Others,199,PA,420,200,No,No,0.16,1
63,166285,0,0,4251056762,1354,Yes,High School or below,Male,Yes,Married,46,Yes,3,1,31,Technology Related Job,371,SC,117,215,No,No,0.62,0
79,164314,0.02,0.02,4251021875,1355,Yes,High School or below,Female,Yes,Single,53,Yes,1,6,72,Others,231,CO,120,75,No,No,0.83,0
41,25215,0,0.02,4251017753,1356,Yes,High School or below,Male,Yes,Single,111,Yes,2,4,90,Technology Related Job,404,DE,317,90,No,Yes,0.28,0
57,23244,0.02,0,4251079046,1357,Yes,High School or below,Male,No,Single,119,Yes,1,2,31,Others,264,MO,320,200,No,No,0.49,0
20,134144,0.01,0,4251037142,1358,Yes,Bachelor or equivalent,Female,Yes,Single,56,Yes,2,7,49,Technology Related Job,436,NE,17,215,No,No,0.95,0
36,132173,0.03,0.02,4251072636,1359,Yes,Bachelor or equivalent,Female,Yes,Married,64,Yes,1,5,90,Others,296,UT,21,75,Yes,No,0.16,1
66,243073,0.01,0.02,4251074430,1360,Yes,Bachelor or equivalent,Male,Yes,Married,2,Yes,2,2,8,Technology Related Job,469,VA,218,90,No,No,0.62,0
14,241102,0.03,0,4251063861,1361,Yes,Master or equivalent,Female,Yes,Single,9,Yes,0,0,49,Others,329,ID,221,200,No,No,0.83,0
44,102003,0.01,0,4251078909,1362,Yes,PhD or equivalent,Male,No,Single,67,No,2,5,67,Technology Related Job,1,IN,418,215,No,No,0.29,0
60,100032,0.03,0.02,4251012734,1363,No,High School or below,Male,No,Single,75,Yes,0,3,7,Others,361,NM,421,75,No,No,0.5,0
23,210932,0.01,0.02,4251028174,1364,Yes,High School or below,Female,Yes,Single,13,Yes,1,0,26,Technology Related Job,34,NC,118,90,No,No,0.95,0
38,208961,0.03,0,4251022111,1365,Yes,High School or below,Female,Yes,Married,20,Yes,0,6,66,Others,394,WY,122,200,No,Yes,0.16,0
69,69861,0.02,0,4251090296,1366,Yes,High School or below,Male,Yes,Married,78,No,1,3,85,Technology Related Job,66,AK,319,215,No,No,0.62,0
17,67890,0.04,0.02,4251037854,1367,Yes,Bachelor or equivalent,Female,Yes,Single,85,Yes,0,1,25,Others,426,LA,322,75,No,No,0.83,0
47,178791,0.02,0.02,4251036115,1368,Yes,Bachelor or equivalent,Male,Yes,Married,23,Yes,1,7,44,Technology Related Job,99,MD,19,90,No,No,0.29,0
63,176820,0.04,0,4251029531,1369,Yes,Master or equivalent,Male,Yes,Single,31,Yes,3,4,84,Others,459,OR,22,200,No,No,0.5,0
25,37720,0.02,0,4251051173,1370,Yes,Master or equivalent,Female,Yes,Single,89,No,0,2,3,Technology Related Job,131,RI,219,215,No,No,0.95,0
41,35749,0.04,0.02,4251060644,1371,Yes,High School or below,Male,No,Married,96,Yes,3,7,43,Others,492,CO,223,74,No,No,0.16,1
72,146650,0.02,0.02,4251037916,1372,Yes,High School or below,Male,Yes,Married,34,Yes,0,5,62,Technology Related Job,164,DE,420,89,No,No,0.62,0
19,144679,0.04,0,4251039576,1373,Yes,High School or below,Female,Yes,Married,42,No,3,2,2,Others,24,MS,423,199,No,No,0.83,0
50,5579,0.03,0,4251085513,1374,Yes,High School or below,Male,Yes,Married,100,Yes,0,0,21,Technology Related Job,197,MT,120,214,No,No,0.29,0
66,3608,0.05,0.02,4251095591,1375,Yes,Bachelor or equivalent,Male,Yes,Single,107,Yes,2,5,61,Others,57,TX,123,74,No,No,0.5,0
28,114508,0.03,0.02,4251045426,1376,Yes,Bachelor or equivalent,Female,No,Single,45,Yes,0,3,80,Technology Related Job,229,VT,320,89,No,No,0.95,0
44,112537,0.05,0,4251010794,1377,Yes,Master or equivalent,Male,No,Married,52,No,2,0,20,Technology Related Job,89,ID,323,199,No,No,0.17,0
74,223438,0.03,0,4251076905,1378,Yes,Master or equivalent,Female,Yes,Single,110,Yes,3,6,38,Technology Related Job,262,IN,20,214,No,Yes,0.62,0
22,221467,0.05,0.02,4251037055,1379,Yes,High School or below,Female,Yes,Married,118,Yes,2,3,79,Technology Related Job,122,NJ,24,74,No,No,0.83,0
53,82367,0.03,0.02,4251028823,1380,Yes,High School or below,Male,Yes,Married,56,Yes,3,1,97,Technology Related Job,294,NY,221,89,No,No,0.29,0
69,80396,0.05,0,4251052087,1381,Yes,High School or below,Male,Yes,Single,63,No,2,6,38,Technology Related Job,154,WI,224,199,No,No,0.5,0
31,191296,0.04,0,4251068181,1382,Yes,High School or below,Female,No,Single,1,Yes,3,4,56,Technology Related Job,327,AL,421,214,No,No,0.96,1
47,189325,0.06,0.02,4251091740,1383,Yes,Bachelor or equivalent,Male,Yes,Single,9,Yes,1,1,97,Technology Related Job,187,LA,424,74,No,No,0.17,0
77,50226,0.04,0.02,4251011924,1384,Yes,Bachelor or equivalent,Female,Yes,Single,66,Yes,3,7,15,Technology Related Job,359,MD,121,89,No,No,0.62,0
25,48255,0.06,0,4251055874,1385,Yes,Bachelor or equivalent,Female,No,Married,74,Yes,1,5,56,Technology Related Job,219,OK,125,199,No,No,0.83,0
55,159155,0.04,0,4251055885,1386,Yes,Master or equivalent,Male,Yes,Married,12,Yes,2,2,74,Technology Related Job,392,PA,322,214,No,No,0.29,0
71,157184,0.06,0.02,4251041072,1387,Yes,High School or below,Male,Yes,Single,19,Yes,1,0,15,Technology Related Job,252,CA,325,74,No,Yes,0.5,0
34,18085,0.04,0.02,4251080026,1388,Yes,High School or below,Female,Yes,Married,77,Yes,2,5,33,Technology Related Job,424,CT,22,89,No,No,0.96,0
50,16114,0.06,0,4251083277,1389,Yes,High School or below,Male,Yes,Single,85,Yes,0,3,74,Technology Related Job,285,MS,25,199,No,No,0.17,0
12,127014,0.05,0,4251029564,1390,Yes,High School or below,Female,No,Single,23,Yes,2,0,92,Technology Related Job,457,MT,222,214,No,No,0.62,0
28,125043,0.07,0.02,4251011151,1391,Yes,High School or below,Female,No,Married,30,Yes,0,6,32,Technology Related Job,317,TX,226,74,No,No,0.84,0
58,235943,0.05,0.02,4251089369,1392,Yes,Bachelor or equivalent,Male,Yes,Married,88,No,1,3,51,Technology Related Job,490,UT,423,89,No,No,0.29,0
74,233972,0.07,0,4251031618,1393,Yes,Bachelor or equivalent,Male,Yes,Married,95,Yes,0,1,91,Technology Related Job,350,HI,426,199,No,No,0.5,0
36,94873,0.05,0,4251043707,1394,Yes,Bachelor or equivalent,Female,Yes,Married,33,Yes,1,6,10,Technology Related Job,22,IL,123,214,No,No,0.96,0
52,92902,0.07,0.02,4251046085,1395,Yes,PhD or equivalent,Male,Yes,Single,41,Yes,0,4,50,Technology Related Job,382,NJ,126,74,No,No,0.17,0
15,203802,0.05,0.02,4251062601,1396,Yes,High School or below,Female,No,Single,99,No,1,2,69,Technology Related Job,55,NY,323,89,No,No,0.63,0
31,201831,0.07,0,4251059707,1397,Yes,High School or below,Female,Yes,Married,106,Yes,3,7,9,Technology Related Job,415,WI,327,199,No,No,0.84,0
61,62731,0.06,0,4251081717,1398,Yes,High School or below,Male,Yes,Single,44,Yes,1,5,28,Non-technology Related Job,87,WY,24,214,Yes,No,0.29,0
77,60760,0,0.02,4251084569,1399,Yes,High School or below,Male,Yes,Married,52,Yes,3,2,68,Technology Related Job,447,KY,27,74,No,No,0.5,0
39,171661,0.06,0.02,4251031439,1400,Yes,High School or below,Female,Yes,Married,110,No,0,0,87,Non-technology Related Job,120,ME,224,89,No,Yes,0.96,0
55,169690,0,0,4251030463,1401,Yes,Bachelor or equivalent,Male,Yes,Single,117,Yes,3,5,27,Technology Related Job,480,OK,227,199,No,No,0.17,0
18,30590,0.06,0,4251078992,1402,Yes,Bachelor or equivalent,Female,Yes,Single,55,Yes,0,3,46,Non-technology Related Job,152,PA,424,214,No,No,0.63,0
33,28619,0,0.02,4251032223,1403,Yes,Master or equivalent,Female,Yes,Single,62,No,3,0,86,Technology Related Job,12,CA,427,74,No,No,0.84,0
64,139519,0.06,0.02,4251033639,1404,Yes,PhD or equivalent,Male,No,Single,0,Yes,0,6,5,Non-technology Related Job,185,CO,124,89,No,No,0.29,0
12,137548,0.01,0,4251028700,1405,Yes,High School or below,Female,No,Married,8,Yes,2,3,45,Technology Related Job,45,MN,128,199,No,No,0.5,0
42,248449,0.07,0,4251081237,1406,Yes,High School or below,Male,Yes,Married,66,Yes,0,1,63,Non-technology Related Job,217,MO,325,214,No,No,0.96,0
58,246478,0.01,0.02,4251047602,1407,Yes,High School or below,Male,Yes,Single,73,No,2,6,4,Technology Related Job,78,TN,328,74,No,No,0.17,0
20,107378,0.07,0.02,4251055221,1408,Yes,High School or below,Female,Yes,Married,11,Yes,3,4,22,Non-technology Related Job,250,UT,25,89,No,No,0.63,0
36,105407,0.01,0,4251011298,1409,No,Bachelor or equivalent,Female,Yes,Single,19,Yes,2,1,63,Technology Related Job,110,HI,28,199,No,Yes,0.84,0
67,216308,0.07,0,4251052794,1410,Yes,Bachelor or equivalent,Male,No,Single,76,Yes,3,7,81,Non-technology Related Job,283,ID,225,214,No,No,0.3,0
14,214337,0.01,0.02,4251028905,1411,Yes,Master or equivalent,Female,Yes,Married,84,No,1,4,22,Technology Related Job,143,NH,229,74,No,No,0.51,0
45,75237,0.07,0.02,4251098936,1412,Yes,Master or equivalent,Male,Yes,Married,22,Yes,3,2,40,Non-technology Related Job,315,NM,426,89,No,No,0.96,0
61,73266,0.02,0,4251099031,1413,Yes,High School or below,Male,Yes,Married,29,Yes,1,7,81,Technology Related Job,175,WV,429,199,No,No,0.17,0
23,184166,0,0,4251059972,1414,Yes,High School or below,Female,Yes,Married,87,Yes,2,5,99,Non-technology Related Job,348,WY,126,214,No,No,0.63,1
39,182195,0.02,0.02,4251032637,1415,Yes,High School or below,Female,Yes,Single,95,Yes,1,3,40,Technology Related Job,208,KY,129,74,No,No,0.84,1
69,43096,0,0.02,4251019143,1416,Yes,High School or below,Male,Yes,Single,33,Yes,2,0,58,Non-technology Related Job,380,LA,326,89,No,No,0.3,0
17,41125,0.02,0,4251037861,1417,Yes,Bachelor or equivalent,Female,Yes,Married,40,Yes,1,6,99,Technology Related Job,240,OH,330,199,No,No,0.51,0
48,152025,0,0,4251042151,1418,Yes,Bachelor or equivalent,Male,Yes,Single,98,Yes,2,3,17,Non-technology Related Job,413,OR,27,214,No,No,0.96,0
64,150054,0.02,0.01,4251026445,1419,Yes,Master or equivalent,Male,No,Married,105,Yes,0,1,57,Technology Related Job,273,AR,30,74,No,No,0.17,0
26,10954,0.01,0.02,4251073722,1420,Yes,Master or equivalent,Female,Yes,Married,43,Yes,2,6,76,Non-technology Related Job,445,CO,227,89,No,No,0.63,0
42,8983,0.03,0.03,4251040496,1421,Yes,High School or below,Female,Yes,Single,51,Yes,0,4,16,Technology Related Job,305,MN,230,199,No,No,0.84,0
72,119884,0.01,0,4251053126,1422,Yes,High School or below,Male,Yes,Single,109,No,1,1,35,Non-technology Related Job,478,MS,427,214,No,Yes,0.3,0
20,117913,0.03,0.01,4251062267,1423,Yes,High School or below,Female,Yes,Single,116,Yes,0,7,75,Technology Related Job,338,SD,431,74,Yes,No,0.51,0
50,228813,0.01,0.02,4251053014,1424,Yes,High School or below,Male,No,Single,54,Yes,1,4,94,Non-technology Related Job,10,TX,127,89,No,No,0.96,0
66,226842,0.03,0.03,4251026330,1425,Yes,Bachelor or equivalent,Male,Yes,Married,62,Yes,0,2,34,Technology Related Job,371,GA,131,199,No,No,0.18,0
29,87743,0.01,0,4251021013,1426,Yes,Bachelor or equivalent,Female,Yes,Married,0,No,1,0,53,Non-technology Related Job,43,ID,328,214,No,No,0.63,0
45,85771,0.03,0.01,4251087922,1427,Yes,Bachelor or equivalent,Female,Yes,Single,7,Yes,3,5,93,Technology Related Job,403,NH,331,74,No,No,0.84,0
75,196672,0.02,0.02,4251093891,1428,Yes,Master or equivalent,Male,Yes,Single,65,Yes,1,3,12,Non-technology Related Job,76,NJ,28,89,No,No,0.3,0
23,194701,0.04,0.03,4251098645,1429,Yes,PhD or equivalent,Female,Yes,Single,72,No,3,0,52,Technology Related Job,436,WA,31,199,No,No,0.51,0
53,55601,0.02,0,4251058756,1430,Yes,High School or below,Male,Yes,Single,10,Yes,0,6,71,Non-technology Related Job,108,WI,228,214,No,No,0.97,0
69,53630,0.04,0.01,4251021122,1431,Yes,High School or below,Male,Yes,Married,18,Yes,3,3,11,Technology Related Job,468,KS,232,74,No,Yes,0.18,0
32,164531,0.02,0.02,4251016685,1432,Yes,High School or below,Female,Yes,Married,76,Yes,0,1,30,Non-technology Related Job,141,LA,429,89,No,No,0.63,0
47,162560,0.04,0.03,4251039602,1433,Yes,High School or below,Female,No,Single,83,No,2,6,70,Technology Related Job,1,OH,432,199,No,No,0.84,0
78,23460,0.02,0,4251038606,1434,Yes,Bachelor or equivalent,Male,Yes,Married,21,Yes,0,4,89,Non-technology Related Job,173,OR,129,214,No,No,0.3,1
26,21489,0.04,0.01,4251089608,1435,Yes,Bachelor or equivalent,Female,Yes,Single,29,Yes,2,1,29,Technology Related Job,33,AZ,132,74,No,No,0.51,1
56,132389,0.03,0.02,4251075441,1436,Yes,Bachelor or equivalent,Male,Yes,Single,86,Yes,3,7,47,Non-technology Related Job,206,CA,329,89,No,No,0.97,0
72,130418,0.05,0.03,4251017159,1437,Yes,Master or equivalent,Male,Yes,Married,94,No,2,4,88,Technology Related Job,66,MI,333,199,No,No,0.18,0
34,241319,0.03,0,4251023676,1438,Yes,PhD or equivalent,Female,No,Married,32,Yes,3,2,6,Non-technology Related Job,238,MS,30,214,No,No,0.63,0
50,239348,0.05,0.01,4251072114,1439,Yes,High School or below,Male,No,Married,39,Yes,2,7,47,Technology Related Job,98,SD,33,74,No,No,0.85,0
13,100248,0.03,0.02,4251054748,1440,Yes,High School or below,Female,Yes,Married,97,Yes,3,5,65,Non-technology Related Job,271,TX,230,89,Yes,No,0.3,0
28,98277,0.05,0.03,4251073308,1441,Yes,High School or below,Female,Yes,Single,105,Yes,1,2,6,Technology Related Job,131,FL,233,199,No,No,0.51,0
59,209177,0.03,0,4251032158,1442,Yes,High School or below,Male,Yes,Single,43,Yes,3,0,24,Non-technology Related Job,303,HI,430,214,No,No,0.97,0
75,207206,0.05,0.01,4251098284,1443,Yes,Bachelor or equivalent,Male,Yes,Married,50,Yes,1,6,65,Technology Related Job,164,NV,434,74,No,No,0.18,0
37,68107,0.04,0.02,4251037014,1444,Yes,Bachelor or equivalent,Female,Yes,Single,108,Yes,2,3,83,Non-technology Related Job,336,NJ,131,89,No,Yes,0.64,0
53,66136,0.06,0.03,4251066966,1445,Yes,Master or equivalent,Male,Yes,Married,116,Yes,1,1,24,Technology Related Job,196,WA,134,199,No,No,0.85,0
15,177036,0.04,0,4251017915,1446,Yes,Master or equivalent,Female,Yes,Married,53,Yes,2,6,42,Non-technology Related Job,369,WI,331,214,No,No,0.3,0
31,175065,0.06,0.01,4251044578,1447,Yes,High School or below,Female,No,Single,61,Yes,1,4,83,Technology Related Job,229,IA,334,74,No,No,0.51,0
62,35966,0.04,0.02,4251075154,1448,Yes,High School or below,Male,Yes,Single,119,No,2,1,1,Non-technology Related Job,401,KY,31,89,No,No,0.97,0
78,33995,0.06,0.03,4251096047,1449,Yes,High School or below,Male,Yes,Single,6,Yes,0,7,41,Technology Related Job,261,ND,34,199,No,No,0.18,0
40,144895,0.04,0,4251032449,1450,Yes,High School or below,Female,Yes,Single,64,Yes,2,4,60,Non-technology Related Job,434,OK,231,214,No,No,0.64,0
56,142924,0.06,0.01,4251058696,1451,Yes,Bachelor or equivalent,Male,Yes,Married,72,Yes,0,2,0,Technology Related Job,294,AZ,235,74,No,No,0.85,0
18,3824,0.05,0.02,4251056552,1452,Yes,Bachelor or equivalent,Female,No,Married,10,No,1,7,19,Non-technology Related Job,466,CA,432,89,No,No,0.3,0
34,1853,0.07,0.03,4251032620,1453,Yes,Master or equivalent,Female,No,Single,17,Yes,0,5,59,Technology Related Job,326,MA,435,199,No,Yes,0.51,0
64,112754,0.05,0,4251048207,1454,Yes,Master or equivalent,Male,Yes,Married,75,Yes,1,3,78,Non-technology Related Job,499,MN,132,214,No,No,0.97,0
12,110783,0.07,0.01,4251016252,1455,No,High School or below,Male,Yes,Single,82,Yes,3,0,18,Technology Related Job,359,SC,135,74,No,No,0.18,1
43,221683,0.05,0.02,4251048112,1456,Yes,High School or below,Female,Yes,Single,20,No,1,6,37,Non-technology Related Job,31,TN,332,89,No,No,0.64,0
59,219712,0.07,0.03,4251055993,1457,Yes,High School or below,Male,Yes,Married,28,Yes,3,3,77,Technology Related Job,391,FL,336,199,No,No,0.85,0
21,80612,0.05,0,4251085278,1458,Yes,High School or below,Female,No,Married,86,Yes,0,1,96,Non-technology Related Job,64,HI,33,214,No,No,0.31,1
37,78641,0.07,0.01,4251017254,1459,Yes,Bachelor or equivalent,Female,Yes,Married,93,No,3,6,36,Technology Related Job,424,NE,36,74,No,No,0.52,0
67,189542,0.06,0.02,4251021130,1460,Yes,Bachelor or equivalent,Male,Yes,Married,31,Yes,0,4,55,Non-technology Related Job,96,NH,233,89,No,No,0.97,0
15,187571,0,0.03,4251047136,1461,Yes,Bachelor or equivalent,Male,No,Single,39,Yes,3,1,95,Non-technology Related Job,457,VA,236,199,No,No,0.18,0
46,48471,0.06,0,4251072664,1462,Yes,Master or equivalent,Female,Yes,Single,97,Yes,0,7,14,Non-technology Related Job,129,WV,433,214,Yes,No,0.64,1
61,46500,0,0.01,4251013923,1463,Yes,High School or below,Male,Yes,Married,104,No,2,4,54,Non-technology Related Job,489,IA,437,74,No,No,0.85,0
24,157401,0.06,0.02,4251081756,1464,Yes,High School or below,Female,Yes,Single,42,Yes,0,2,72,Non-technology Related Job,162,KY,134,89,No,No,0.31,0
40,155429,0,0.03,4251074844,1465,Yes,High School or below,Female,Yes,Married,49,Yes,2,7,13,Non-technology Related Job,22,NC,137,199,No,No,0.52,0
70,16330,0.06,0,4251018312,1466,Yes,High School or below,Male,No,Married,107,Yes,3,5,31,Non-technology Related Job,194,OH,334,213,No,Yes,0.97,0
18,14359,0,0.01,4251030478,1467,Yes,High School or below,Female,No,Single,115,No,2,2,72,Non-technology Related Job,54,AK,337,73,No,No,0.18,1
48,125259,0.07,0.02,4251010300,1468,Yes,Bachelor or equivalent,Female,Yes,Single,53,Yes,3,0,90,Non-technology Related Job,227,AR,34,88,No,No,0.64,0
64,123288,0.01,0.03,4251045994,1469,Yes,Bachelor or equivalent,Male,Yes,Single,60,Yes,2,5,31,Non-technology Related Job,87,MA,38,198,No,No,0.85,0
27,234189,0.07,0,4251083436,1470,Yes,Bachelor or equivalent,Female,Yes,Single,118,Yes,3,3,49,Non-technology Related Job,259,MN,234,213,No,No,0.31,0
42,232218,0.01,0.01,4251060397,1471,Yes,PhD or equivalent,Female,Yes,Married,6,Yes,1,1,90,Non-technology Related Job,119,SC,238,73,No,No,0.52,0
73,93118,0.07,0.02,4251012707,1472,Yes,High School or below,Male,No,Married,63,Yes,2,6,8,Non-technology Related Job,292,SD,435,88,No,No,0.97,0
21,91147,0.01,0.03,4251032034,1473,Yes,High School or below,Female,Yes,Single,71,Yes,1,4,49,Non-technology Related Job,152,DE,438,198,No,No,0.19,0
51,202047,0.07,0,4251035217,1474,Yes,High School or below,Male,Yes,Married,9,Yes,2,1,67,Non-technology Related Job,324,GA,135,213,No,No,0.64,0
67,200076,0.01,0.01,4251079929,1475,Yes,High School or below,Male,Yes,Single,16,Yes,1,7,8,Non-technology Related Job,184,NE,138,73,No,Yes,0.85,0
29,60977,0,0.01,4251068220,1476,Yes,Bachelor or equivalent,Female,Yes,Single,74,Yes,2,4,26,Non-technology Related Job,357,NH,335,88,No,No,0.31,0
45,59006,0.02,0.03,4251030119,1477,Yes,Bachelor or equivalent,Female,Yes,Married,82,Yes,0,2,66,Non-technology Related Job,217,VA,339,198,No,No,0.52,0
76,169906,0,0.03,4251094013,1478,Yes,Bachelor or equivalent,Male,Yes,Married,20,No,2,7,85,Non-technology Related Job,389,WA,36,213,No,No,0.98,0
23,167935,0.02,0.01,4251010005,1479,Yes,Master or equivalent,Female,Yes,Married,27,Yes,0,5,25,Non-technology Related Job,250,IN,39,73,No,No,0.19,0
54,28835,0,0.01,4251093940,1480,Yes,PhD or equivalent,Male,No,Married,85,Yes,1,2,44,Non-technology Related Job,422,KS,236,88,No,No,0.64,0
70,26864,0.02,0.03,4251028282,1481,Yes,High School or below,Male,No,Single,92,Yes,0,0,84,Non-technology Related Job,282,NC,239,198,No,No,0.85,0
32,137765,0,0.03,4251062372,1482,Yes,High School or below,Female,Yes,Single,30,No,1,6,3,Non-technology Related Job,455,OH,436,213,No,No,0.31,0
48,135794,0.02,0.01,4251092095,1483,Yes,High School or below,Female,Yes,Married,38,Yes,0,3,43,Non-technology Related Job,315,AK,440,73,No,No,0.52,0
78,246694,0.01,0.01,4251023545,1484,Yes,High School or below,Male,Yes,Single,96,Yes,1,1,62,Others,487,AZ,137,88,No,No,0.98,0
26,244723,0.03,0.03,4251030151,1485,Yes,Bachelor or equivalent,Female,Yes,Married,103,Yes,3,6,2,Non-technology Related Job,347,MD,140,198,No,No,0.19,0
57,105624,0.01,0.03,4251096429,1486,Yes,Bachelor or equivalent,Male,No,Married,41,Yes,1,4,21,Others,20,MI,337,213,No,No,0.64,0
73,103653,0.03,0.01,4251017450,1487,Yes,Master or equivalent,Male,Yes,Single,49,Yes,3,1,61,Non-technology Related Job,380,RI,340,73,Yes,No,0.86,0
35,214553,0.01,0.01,4251029654,1488,Yes,Master or equivalent,Female,Yes,Single,107,Yes,0,7,80,Others,52,SD,37,88,No,Yes,0.31,0
51,212582,0.03,0.03,4251078482,1489,Yes,High School or below,Female,Yes,Single,114,No,3,4,20,Non-technology Related Job,412,DE,41,198,No,No,0.52,1
13,73482,0.01,0.03,4251096090,1490,Yes,High School or below,Male,Yes,Single,52,Yes,0,2,39,Others,85,FL,238,213,No,No,0.98,0
29,71511,0.03,0.01,4251015287,1491,Yes,High School or below,Female,Yes,Married,59,Yes,2,7,79,Non-technology Related Job,445,MT,241,73,No,No,0.19,0
59,182412,0.02,0.01,4251040253,1492,Yes,High School or below,Male,Yes,Married,117,Yes,0,5,97,Others,117,NV,438,88,No,No,0.65,0
75,180441,0.04,0.03,4251069983,1493,Yes,Bachelor or equivalent,Male,Yes,Single,5,No,2,2,38,Non-technology Related Job,478,VT,441,198,No,No,0.86,0
38,41341,0.02,0.03,4251052737,1494,Yes,Bachelor or equivalent,Female,Yes,Single,63,Yes,3,0,56,Others,150,WA,138,213,No,No,0.31,1
54,39370,0.04,0.01,4251024418,1495,Yes,Master or equivalent,Female,No,Single,70,Yes,2,5,97,Non-technology Related Job,10,IN,142,73,No,No,0.52,0
16,150270,0.02,0.01,4251079097,1496,Yes,Master or equivalent,Male,Yes,Single,8,Yes,3,3,15,Others,182,IA,338,88,No,No,0.98,0
32,148299,0.04,0.03,4251082514,1497,Yes,High School or below,Female,Yes,Married,16,Yes,2,0,56,Non-technology Related Job,43,NY,342,198,No,Yes,0.19,0
62,9200,0.02,0.03,4251090428,1498,Yes,High School or below,Male,Yes,Married,73,Yes,3,6,74,Others,215,ND,39,213,No,No,0.65,0
78,7229,0.05,0.01,4251081416,1499,Yes,High School or below,Male,Yes,Single,81,Yes,1,4,15,Non-technology Related Job,75,AL,42,73,No,No,0.86,0
41,118129,0.03,0.01,4251067558,1500,Yes,High School or below,Female,No,Married,19,Yes,3,1,33,Others,248,AZ,239,88,No,No,0.31,0
56,116158,0.05,0.03,4251017478,1501,No,Bachelor or equivalent,Male,Yes,Single,26,Yes,1,7,74,Non-technology Related Job,108,MD,242,198,No,No,0.53,0
19,227058,0.03,0.03,4251066698,1502,Yes,Bachelor or equivalent,Female,Yes,Single,84,Yes,2,4,92,Others,280,MA,439,213,No,No,0.98,0
35,225087,0.05,0.01,4251055634,1503,Yes,Bachelor or equivalent,Female,Yes,Married,92,Yes,1,2,33,Non-technology Related Job,140,PA,443,73,No,No,0.19,1
65,85988,0.03,0.01,4251067276,1504,Yes,Master or equivalent,Male,Yes,Married,30,No,2,7,51,Others,313,SC,140,88,Yes,No,0.65,0
13,84017,0.05,0.03,4251020839,1505,Yes,High School or below,Male,Yes,Married,37,Yes,1,5,92,Non-technology Related Job,173,CT,143,198,No,No,0.86,0
43,194917,0.03,0.03,4251082826,1506,Yes,High School or below,Female,Yes,Married,95,Yes,2,2,10,Others,345,FL,340,213,No,No,0.32,0
59,192946,0.06,0.01,4251032745,1507,Yes,High School or below,Male,Yes,Single,102,Yes,0,0,50,Non-technology Related Job,205,MT,343,73,No,No,0.53,0
22,53847,0.04,0.01,4251089459,1508,Yes,High School or below,Female,Yes,Single,40,No,2,5,69,Others,378,NE,40,88,No,No,0.98,0
37,51876,0.06,0.03,4251091839,1509,Yes,High School or below,Female,No,Married,48,Yes,0,3,9,Non-technology Related Job,238,UT,44,198,No,No,0.19,0
68,162776,0.04,0.03,4251089811,1510,Yes,Bachelor or equivalent,Male,Yes,Single,106,Yes,1,1,28,Others,410,VA,241,213,No,Yes,0.65,0
